Organizations,Description,Vote,$ Available 2009-10,$ Spent 2009-10,$ Available 2010-11,$ Spent 2010-11,$ Available 2011-12,$ Spent 2011-12
Indian Affairs and Northern Development,Contributions to employee benefit plans,(S),"69,023,753","69,023,753","69,017,460","69,017,460","72,025,681","72,025,681"
Indian Affairs and Northern Development,Contributions to employee benefit plans -Office of the Federal Interlocutor for Métis and non-status Indians,(S),"975,536","975,536","823,769","823,769",,
Indian Affairs and Northern Development,Court Awards - Crown Liability and Proceedings Act,(S),"976,996","976,996","464,611","464,611","299,565","299,565"
Indian Affairs and Northern Development,Grant to the Nunatsiavut Government for the implementation of the Labrador Inuit Land Claims Agreement pursuant to the Labrador Inuit Land Claims Agreement Act,(S),"36,767,096","36,767,096","36,715,426","36,715,426","36,715,426","36,715,426"
Indian Affairs and Northern Development,Grants to Aboriginal organizations designated to receive claim settlement payments pursuant to Comprehensive Land Claim Settlement Acts,(S),"60,587,890","60,587,890","53,931,817","53,931,817","77,294,428","77,294,427"
Indian Affairs and Northern Development,Indian Annuities Treaty payments,(S),"2,214,523","2,214,523","1,523,476","1,523,476","1,866,646","1,866,646"
Indian Affairs and Northern Development,Liabilities in respect of loan guarantees made to Indians for Housing and Economic Development,(S),"1,871,656","1,871,656","1,354,364","1,354,364","88,623","88,624"
Indian Affairs and Northern Development,Minister's Salary and Motor Car Allowance ,(S),"77,638","77,638","76,594","76,594","77,536","77,536"
Indian Affairs and Northern Development,"Payment from the Consolidated Revenue Fund of guaranteed loans issued out of the Indian economic development account (Authorized limit $60,000,000)",(S),"31,735,892",0,"31,735,892",0,"32,490,796",0
Indian Affairs and Northern Development,Payments to comprehensive claim beneficiaries in compensation for resource royalties,(S),"5,970,496","5,970,496","7,334,275","7,334,275","7,553,204","7,553,204"
Indian Affairs and Northern Development,Refunds of Previous Years Revenue,(S),"1,079,904","1,079,904","2,085,177","2,085,177","1,223,282","1,223,282"
Indian Affairs and Northern Development,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"274,019","88,978","559,005","180,995","745,109","352,846"
Indian Affairs and Northern Development,Transfer Payments in Connection with the Budget Implementation Act,(S),"75,000,000","75,000,000",,,,
Indian Residential Schools Truth and Reconciliation Commission,Program expenditures,45,"22,892,743","6,235,334","31,758,318","10,176,036","33,628,452","18,621,980"
Indian Residential Schools Truth and Reconciliation Commission Secretariat,Contributions to employee benefit plans,(S),"211,256","211,256","457,461","457,461","623,173","623,173"
Industry,Operating expenditures,1,"497,279,036","459,221,430","442,489,096","416,863,455","441,380,244","403,765,189"
Industry,Capital expenditures,5,"24,297,683","19,129,404","15,516,051","14,835,184","15,611,312","13,978,234"
Industry,Grants and contributions,10,"1,621,918,841","1,165,922,292","1,419,803,832","1,127,975,396","750,345,737","654,278,419"
Industry,Canadian Intellectual Property Office Revolving Fund,(S),"152,435,982","-1,319,855","153,755,837","-4,396,772","158,152,609","-4,987,335"
Industry,Contributions to employee benefit plans,(S),"65,473,571","65,473,571","62,736,172","62,736,172","60,297,940","60,297,940"
Industry,Contributions under the Knowledge Infrastructure Program,(S),"500,000,000","500,000,000","256,151,948","256,151,948","182,771,499","182,771,499"
Industry,Genome Canada,(S),"82,900,000","82,900,000","46,900,000","46,900,000","55,100,000","55,100,000"
Industry,"Liabilities under the Canada Small Business Financing Act (S.C., 1998, c. 36)",(S),"116,498,678","116,498,678","82,804,730","82,804,730","69,360,155","69,360,155"
Industry,"Liabilities under the Small Business Loans Act (R.S.C, 1985, c. S-11)",(S),"189,035","189,035","114,315","114,315","37,396","37,396"
Industry,Losses on Foreign Exchange,(S),"9,917","9,917","8,170","8,170",,
Industry,Minister's Salary and Motor Car Allowance ,(S),"77,638","77,638","81,638","81,638","81,577","81,577"
Industry,Refunds of Previous Years Revenue,(S),"441,172","441,172","720,107","720,107","852,352","852,352"
Industry,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"400,215","131,236","477,522","203,252","494,168","164,354"
Industry,Transfer Payments in Connection with the Budget Implementation Act,(S),"158,962,513","158,962,513","50,000,000","50,000,000","11,010,400","11,010,400"
International Development Research Centre,Payments to the International Development Research Centre,45,"171,296,002","171,296,002","195,917,432","195,917,432","237,907,649","237,907,649"
International Joint Commission (Canadian Section),Program expenditures,50,"9,265,462","7,047,483","8,472,000","8,148,135","8,333,033","7,577,459"
International Joint Commission (Canadian Section),Contributions to employee benefit plans,(S),"455,617","455,617","454,935","454,935","473,637","473,637"
Justice,Operating expenditures,1,"362,603,830","334,506,117","323,035,845","296,305,685","323,544,809","284,965,006"
Justice,Grants and contributions,5,"394,142,281","384,929,665","397,956,000","385,764,244","395,698,536","381,614,514"
Justice,Contributions to employee benefit plans,(S),"78,734,819","78,734,819","79,246,015","79,246,015","78,266,591","78,266,591"
Justice,Minister's Salary and Motor Car Allowance ,(S),"77,638","77,638","77,638","77,638","77,537","77,536"
Justice,Refunds of Previous Years Revenue,(S),"250,507","250,507","80,793","80,793","84,117","84,117"
Justice,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"13,370","4,908","25,101","8,754","19,114",0
Library and Archives of Canada,Operating expenditures,50,"114,994,812","103,907,953","104,602,814","95,858,272","102,241,090","98,815,438"
Library and Archives of Canada,Capital expenditures,55,"11,885,407","7,556,243","11,997,971","3,659,653","10,350,000","643,500"
Library and Archives of Canada,Contributions to employee benefit plans,(S),"12,895,385","12,895,385","12,147,473","12,147,473","12,471,923","12,471,923"
Library and Archives of Canada,Refunds of Previous Years Revenue,(S),"4,415","4,415",,,"1,903","1,903"
Library and Archives of Canada,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"298,805","103,537","288,941","200,342","308,205","88,599"
Library of Parliament,Program expenditures,10,"36,133,170","35,323,377","38,096,000","36,972,594","37,496,080","36,369,707"
Library of Parliament,Contributions to employee benefit plans,(S),"4,877,430","4,877,430","4,948,977","4,948,977","4,937,897","4,937,897"
Marine Atlantic Inc.,Payments to Marine Atlantic Inc.,35,"126,593,000","123,493,000","219,647,001","210,927,022","202,085,000","183,290,595"
Military Police Complaints Commission,Program expenditures,20,"6,716,490","4,408,590","6,761,121","4,182,558","5,779,116","4,666,944"
Military Police Complaints Commission,Contributions to employee benefit plans,(S),"274,942","274,942","240,532","240,532","255,976","255,976"
Military Police Complaints Commission,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),,,66,0,93,0
NAFTA Secretariat - Canadian Section,Program expenditures,50,"2,947,611","1,170,708",,,,
NAFTA Secretariat - Canadian Section,Contributions to employee benefit plans,(S),"112,530","112,530",0,0,,
National Arts Centre Corporation ,Payments to the National Arts Centre Corporation for operating expenditures,60,"35,402,307","35,402,307","36,134,981","36,131,175","35,781,175","35,781,174"
National Battlefields Commission,Program expenditures,65,"7,854,835","7,162,118","7,853,271","7,139,887","7,520,729","7,163,406"
National Battlefields Commission,Contributions to employee benefit plans,(S),"505,023","505,023","517,418","517,418","525,339","525,339"
National Battlefields Commission,Expenditures pursuant to paragraph 29.1(1) of the Financial Administration Act,(S),"1,787,369","1,787,369","2,231,335","2,231,335","2,115,612","2,115,610"
National Capital Commission,Payments to the National Capital Commission for operating expenditures,52,"85,387,208","85,387,205","83,943,115","83,467,313","84,351,010","84,289,995"
National Capital Commission,Payments to the National Capital Commission for capital expenditures,54,"32,533,001","19,533,001","79,838,001","74,848,001","31,386,000","23,196,101"
National Defence,Operating expenditures,1,"15,204,235,779","14,792,352,787","15,689,460,901","14,759,621,065","15,417,928,462","15,039,558,546"
National Defence,Capital expenditures,5,"4,108,136,487","3,343,432,298","5,311,274,607","3,807,286,445","4,322,834,649","3,255,231,544"
National Defence,Grants and contributions,10,"232,815,107","229,850,925","272,490,669","260,863,017","241,678,002","205,008,428"
National Defence,Collection Agency Fees under section 17.1 of the Financial Administration Act,(S),"11,625","11,625","2,408","2,408","2,534","2,534"
National Defence,Contributions to employee benefit plans,(S),"342,800,863","342,800,863","336,178,051","336,178,051","332,628,046","332,628,046"
National Defence,Contributions to employee benefit plans – Members of the Military,(S),"1,131,130,369","1,131,130,369","1,117,759,795","1,117,759,795","1,360,948,151","1,360,948,151"
National Defence,Minister's Salary and Motor Car Allowance ,(S),"77,638","77,638","77,638","77,638","145,055","145,055"
National Defence,"Payments to dependants of certain members of the Royal Canadian Air Force killed while serving as instructors under the British Commonwealth Air Training Plan (Appropriation Act No. 4, 1968)",(S),"70,175","70,175","45,320","45,320","44,918","44,918"
National Defence,"Payments under Parts I-IV of the Defence Services Pension Continuation Act (R.S.C., 1970, c. D-3)",(S),"1,054,026","1,054,026","929,668","929,668","811,472","811,472"
National Defence,Payments under the Supplementary Retirement Benefits Act,(S),"5,005,914","5,005,914","4,492,604","4,492,604","3,881,303","3,881,303"
National Defence,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"20,048,700","9,883,277","21,906,782","11,000,773","37,222,217","20,497,864"
National Energy Board,Program expenditures,25,"57,748,998","50,050,719","56,790,854","52,034,195","60,678,254","57,099,363"
National Energy Board,Contributions to employee benefit plans,(S),"6,124,141","6,124,141","6,817,822","6,817,822","7,276,250","7,276,250"
National Energy Board,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),220,0,220,0,52,0
National Film Board,Program expenditures,70,"70,119,362","69,679,726","68,485,967","67,883,047","68,786,074","66,904,057"
National Film Board,National Film Board Revolving Fund,(S),"5,941,808","113,949","5,827,859","-475,902","6,303,761","-51,479"
National Gallery of Canada,Payments to the National Gallery of Canada for operating and capital expenditures,75,"42,592,554","42,592,554","43,102,120","43,102,120","41,666,146","41,586,146"
National Gallery of Canada,Payment to the National Gallery of Canada for the acquisition of objects for the Collection and other costs attributable to this activity,80,"8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000"
National Museum of Science and Technology,Payments to the National Museum of Science and Technology for operating and capital expenditures,85,"36,693,989","36,693,989","35,371,192","35,371,192","30,304,286","30,304,286"
National Parole Board,Program expenditures,35,"46,146,040","41,431,994","43,861,693","40,207,239","50,775,726","45,895,829"
National Parole Board,Contributions to employee benefit plans,(S),"5,867,124","5,867,124","5,781,882","5,781,882","6,276,273","6,276,273"
National Parole Board,Refunds of Previous Years Revenue,(S),,,,,650,650
National Parole Board,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"17,404","11,013","21,407","5,726","67,139","15,680"
National Research Council of Canada,Operating expenditures,60,"438,567,197","430,451,799","427,947,524","423,496,228","405,687,149","404,197,392"
National Research Council of Canada,Capital expenditures,65,"52,597,200","51,209,026","53,192,000","49,665,778","42,265,908","35,323,689"
National Research Council of Canada,Grants and contributions,70,"274,579,113","271,036,276","294,887,800","290,897,153","165,275,481","148,000,687"
National Research Council of Canada,Collection Agency Fees under section 17.1 of the Financial Administration Act,(S),"26,563","26,563","24,981","24,981","17,810","17,810"
National Research Council of Canada,Contributions to employee benefit plans,(S),"67,901,597","67,901,597","63,681,019","63,681,019","59,766,138","59,766,138"
National Research Council of Canada,Losses on Foreign Exchange,(S),,,,,"3,442","3,442"
National Research Council of Canada,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"440,959","230,474","593,798","324,899","963,601","602,558"
National Research Council of Canada,"Spending of revenues pursuant to paragraph 5(1)(e) of the National Research Council Act (R.S.C., 1985, c. N-15)",(S),"155,956,205","110,158,025","123,255,141","75,208,335","146,959,101","50,591,866"
National Round Table on the Environment and the Economy,Program expenditures,20,"5,043,075","4,512,788","5,065,811","4,726,136","5,218,383","4,914,463"
National Round Table on the Environment and the Economy,Contributions to employee benefit plans,(S),"407,761","407,761","426,005","426,005","449,334","449,334"
National Round Table on the Environment and the Economy,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),24,0,,,25,0
Natural Resources,Operating expenditures,1,"927,602,832","869,679,214","860,176,242","819,599,924","844,592,937","755,418,094"
Natural Resources,Capital expenditures,5,"8,933,501","8,919,905","26,476,505","21,220,057","23,757,713","21,361,585"
Natural Resources,Grants and contributions,10,"806,564,719","780,501,029","1,898,727,745","1,346,549,666","1,716,487,961","1,285,909,038"
Natural Resources,Canada / Newfoundland Development Fund,(S),"20,259",0,"20,259",0,,
Natural Resources,Canada / Nova Scotia Development Fund,(S),"1,319,697","1,319,697",,,,
Natural Resources,Collection Agency Fees under section 17.1 of the Financial Administration Act,(S),"8,030","8,030","4,676","4,676","4,614","4,614"
Natural Resources,Contribution to the Canada/Newfoundland Offshore Petroleum Board,(S),"4,888,437","4,888,437","6,306,911","6,306,911","3,447,813","3,447,813"
Natural Resources,Contribution to the Canada/Nova Scotia Offshore Petroleum Board,(S),"2,178,823","2,178,823","2,150,940","2,150,940","2,240,265","2,240,265"
Natural Resources,Contributions to employee benefit plans,(S),"67,097,155","67,097,155","66,104,298","66,104,298","64,134,812","64,134,812"
Natural Resources,Geomatics Canada Revolving Fund,(S),"7,726,552","453,882","7,272,670","-284,746","7,557,416","448,096"
Natural Resources,Minister's Salary and Motor Car Allowance ,(S),"76,852","76,852","77,638","77,638","77,516","77,516"
Natural Resources,Newfoundland Fiscal Equalization Offset Payments,(S),"465,288,000","465,288,000","641,862,000","641,862,000",,
Natural Resources,Payments to the Newfoundland Offshore Petroleum Resource Revenue Fund,(S),"1,180,910,901","1,180,910,901","1,227,766,801","1,227,766,801","1,059,753,176","1,059,753,175"
Natural Resources,Payments to the Nova Scotia Offshore Revenue Account,(S),"109,416,376","109,416,376","225,172,847","225,172,847","157,288,886","157,288,886"
Natural Resources,"Pursuant to section 2146 of the Jobs and Economic Growth Act, for the divestiture of Atomic Energy of Canada Limited",(S), ,,,,"1,740,702","1,740,702"
Natural Resources,Refunds of Previous Years Revenue,(S),,,,,"43,266","43,266"
Natural Resources,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"935,409","527,500","802,028","497,956","748,274","304,742"
Natural Sciences and Engineering Research Council,Operating expenditures,75,"45,826,863","42,109,634","46,952,082","43,899,255","46,894,375","44,302,983"
Natural Sciences and Engineering Research Council,Grants,80,"1,004,420,594","1,004,173,718","1,027,984,786","1,027,176,657","1,037,114,018","1,036,165,486"
Natural Sciences and Engineering Research Council,Collection Agency Fees under section 17.1 of the Financial Administration Act,(S),,,"1,470","1,470","1,136","1,136"
Natural Sciences and Engineering Research Council,Contributions to employee benefit plans,(S),"4,962,825","4,962,825","4,866,532","4,866,532","5,267,987","5,267,987"
Natural Sciences and Engineering Research Council,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"1,148","1,106",616,0,"1,751",0
Northern Pipeline Agency,Program expenditures,30,"625,200","574,688","1,215,200","1,043,034","2,963,150","1,995,695"
Northern Pipeline Agency,Contributions to employee benefit plans,(S),"34,859","34,859","81,522","81,522","111,918","111,918"
Office of Infrastructure of Canada,Operating expenditures,50,"66,319,358","59,390,554","64,892,044","63,435,552","63,379,694","58,587,522"
Office of Infrastructure of Canada,Contributions,55,"4,694,565,319","3,448,905,807","7,280,063,546","4,310,126,278","5,956,580,886","4,197,098,781"
Office of Infrastructure of Canada,Communities Component of the Building Canada Fund,(S),"30,045,364","30,045,364","219,954,637","219,954,637",,
Office of Infrastructure of Canada,Contributions to employee benefit plans,(S),"4,446,477","4,446,477","4,962,414","4,962,414","5,107,996","5,107,996"
Office of Infrastructure of Canada,Green Infrastructure Fund,(S),"5,159,772","5,159,772","33,537,280","33,537,280","29,766,472","29,766,472"
Office of Infrastructure of Canada,Infrastructure Stimulus Fund,(S),"490,729,107","490,729,107","1,461,665,573","1,461,665,573","92,041,502","92,041,502"
Office of Infrastructure of Canada,Provincial – Territorial Infrastructure Base Funding Program,(S),"179,383,000","179,383,000","158,109,000","158,109,000","157,508,000","157,508,000"
Office of Infrastructure of Canada,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),483,0,125,0,208,0
Office of the Commissioner of Lobbying,Program expenditures,45,"4,458,988","3,810,305","4,425,296","4,295,842","4,684,418","4,463,147"
Office of the Commissioner of Lobbying,Contributions to employee benefit plans,(S),"368,558","368,558","390,093","390,093","398,443","398,443"
Office of the Commissioner of Official Languages,Program expenditures,20,"19,976,943","18,978,549","19,821,924","19,252,723","21,042,044","20,081,180"
Office of the Commissioner of Official Languages,Contributions to employee benefit plans,(S),"2,307,297","2,307,297","2,225,010","2,225,010","2,272,164","2,272,164"
Office of the Commissioner of Official Languages,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),211,0,192,0,"1,692","1,692"
Office of the Communications Security Establishment Commissioner,Program expenditures,25,"2,123,976","1,389,691","2,121,689","1,473,478","2,214,302","1,793,304"
Office of the Communications Security Establishment Commissioner,Contributions to employee benefit plans,(S),"142,884","142,884","132,481","132,481","149,124","149,124"
Office of the Conflict of Interest and Ethics Commissioner,Program expenditures,15,"6,338,000","4,890,993","6,338,000","5,312,166","6,338,000","5,893,494"
Office of the Conflict of Interest and Ethics Commissioner,Contributions to employee benefit plans,(S),"636,912","636,912","703,760","703,760","744,367","744,367"
"Office of the Co-ordinator, Status of Women",Operating expenditures,26,"10,345,744","9,825,453","10,447,411","9,417,620","10,594,731","9,933,836"
"Office of the Co-ordinator, Status of Women",Grants and contributions,28,"20,633,000","20,471,824","19,950,000","19,545,445","18,950,001","18,285,051"
"Office of the Co-ordinator, Status of Women",Contributions to employee benefit plans,(S),"1,269,031","1,269,031","1,278,628","1,278,628","1,215,939","1,215,939"
"Office of the Co-ordinator, Status of Women",Minister's Salary and Motor Car Allowance ,(S),"2,122","2,122",53,53,,
"Office of the Co-ordinator, Status of Women",Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),145,0,218,0,268,0
Office of the Correctional Investigator,Program expenditures,40,"3,673,392","3,595,997","3,696,426","3,612,869","4,474,298","4,399,240"
Office of the Correctional Investigator,Contributions to employee benefit plans,(S),"405,695","405,695","465,709","465,709","537,427","537,427"
Office of the Director of Public Prosecutions,Program expenditures,35,"167,045,819","132,595,635","158,747,162","132,189,548","171,650,860","141,477,954"
Office of the Director of Public Prosecutions,Contributions to employee benefit plans,(S),"14,365,778","14,365,778","14,146,038","14,146,038","14,965,696","14,965,696"
Office of the Director of Public Prosecutions,Refunds of Previous Years Revenue,(S),"6,840","6,840",221,221,,
Office of the Public Sector Integrity Commissioner,Program expenditures,50,"6,347,863","3,475,260","6,347,959","4,816,143","6,904,617","5,192,767"
Office of the Public Sector Integrity Commissioner,Contributions to employee benefit plans,(S),"363,431","363,431","507,555","507,555","473,096","473,096"
Office of the Superintendent of Financial Institutions,Program expenditures,35,"938,824","938,824","946,801","923,806","910,226","910,226"
Office of the Superintendent of Financial Institutions,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"4,619","2,910","9,902","9,901","2,656","2,655"
Office of the Superintendent of Financial Institutions,Spending of revenues pursuant to subsection 17(2) of the Office of the Superintendent of Financial Institutions Act,(S),"70,789,392","-11,140,421","81,929,813","14,813,895","67,115,918","-13,517,692"
Offices of the Information and Privacy Commissioners of Canada,Office of the Information Commissioner of Canada-Program expenditures,40,"10,508,145","10,326,145","11,407,386","11,259,378","11,930,589","11,376,683"
Offices of the Information and Privacy Commissioners of Canada,Office of the Privacy Commissioner of Canada-Program expenditures,45,"21,690,939","20,520,851","22,214,697","20,826,126","24,530,287","23,795,371"
Offices of the Information and Privacy Commissioners of Canada,Contributions to employee benefit plans,(S),"2,119,468","2,119,468","1,998,413","1,998,413","3,618,642","3,618,642"
Offices of the Information and Privacy Commissioners of Canada,Contributions to employee benefit plans,(S),"1,136,763","1,136,763","1,353,822","1,353,822",,
Offices of the Information and Privacy Commissioners of Canada,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),509,0,493,0,682,0
Old Port of Montreal Corporation Inc.,Payments to the Old Port of Montreal Corporation Inc. for operating and capital expenditures,13,"23,395,000","23,144,999","28,986,795","28,986,795","30,373,001","30,373,000"
Parks Canada Agency,Program expenditures,25,"654,972,639","605,295,379","767,404,737","715,550,464","603,446,570","504,032,705"
Parks Canada Agency,Payments to the New Parks and Historic Sites Account,30,"500,000","500,000","500,000","500,000","500,000","500,000"
Parks Canada Agency,Contributions to employee benefit plans,(S),"56,102,624","56,102,624","56,249,170","56,249,170","55,306,993","55,306,993"
Parks Canada Agency,Expenditures equivalent to revenues resulting from the conduct of operations pursuant to section 20 of the Parks Canada Act,(S),"115,874,665","115,874,665","113,416,016","113,416,016","118,172,207","118,172,207"
Patented Medicine Prices Review Board,Program expenditures,35,"10,980,990","8,128,053","11,605,136","8,527,960","11,735,590","8,241,046"
Patented Medicine Prices Review Board,Contributions to employee benefit plans,(S),"801,505","801,505","942,648","942,648","953,535","953,535"
Patented Medicine Prices Review Board,Court Awards - Crown Liability and Proceedings Act,(S),"169,471","169,471",,,"46,870","46,871"
Patented Medicine Prices Review Board,Refunds of Previous Years Revenue,(S),,,,,"2,512,878","2,512,878"
Patented Medicine Prices Review Board,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),819,819,99,99,46,46
PPP Canada Inc.,Payments to PPP Canada Inc. for P3 Fund investments,40,"10,100,000","6,600,000","12,700,000","11,000,000","12,700,000","12,700,000"
PPP Canada Inc.,Payments to PPP Canada Inc. for P3 Canada Fund investments,45,"165,400,000","165,400,000","242,500,000","242,500,000","275,000,000","275,000,000"
Privy Council,Program expenditures,1,"153,840,904","142,127,676","151,601,766","143,369,694","150,694,375","138,212,059"
Privy Council,Contributions to employee benefit plans,(S),"16,069,603","16,069,603","16,155,918","16,155,918","16,758,066","16,758,066"
Privy Council,Minister's Salary and Motor Car Allowance ,(S),"396,995","396,995","398,247","398,247","396,385","396,385"
Privy Council,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"13,870","7,053","70,120","6,817","111,933","63,303"
Public Appointments Commission Secretariat,Program expenditures,30,"992,250","264,493","992,250","268,373","992,250","119,473"
Public Appointments Commission Secretariat,Contributions to employee benefit plans,(S),"26,089","26,089","25,761","25,761","15,607","15,607"
Public Health Agency of Canada,Operating expenditures,40,"902,890,008","652,699,006","438,183,735","368,197,623","431,838,404","379,391,177"
Public Health Agency of Canada,Capital expenditures,45,"18,719,853","14,315,263","36,773,594","30,320,882","28,372,624","27,234,343"
Public Health Agency of Canada,Grants and contributions,50,"246,663,251","242,937,396","201,473,489","184,115,437","196,985,563","193,291,760"
Public Health Agency of Canada,Collection Agency Fees under section 17.1 of the Financial Administration Act,(S),"1,919","1,919","1,184","1,184",,
Public Health Agency of Canada,Contributions to employee benefit plans,(S),"34,225,621","34,225,621","35,382,628","35,382,628","36,522,571","36,522,571"
Public Health Agency of Canada,Refunds of Previous Years Revenue,(S),,,"59,836","59,836",,
Public Health Agency of Canada,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"26,409","5,688","58,172","42,503","77,242","59,686"
Public Safety and Emergency Preparedness,Operating expenditures,1,"143,264,314","135,053,889","150,250,725","140,564,048","152,158,975","141,648,763"
Public Safety and Emergency Preparedness,Grants and contributions,5,"284,756,845","245,504,626","520,027,850","376,766,793","246,043,792","244,162,360"
Public Safety and Emergency Preparedness,Contributions to employee benefit plans,(S),"15,136,915","15,136,915","15,188,676","15,188,676","15,676,137","15,676,136"
Public Safety and Emergency Preparedness,Minister's Salary and Motor Car Allowance ,(S),"77,638","77,638","77,638","77,638","77,536","77,536"
Public Service Commission,Program expenditures,100,"98,833,006","92,683,474","91,628,667","87,581,886","97,565,064","92,308,370"
Public Service Commission,Contributions to employee benefit plans,(S),"13,957,770","13,957,770","13,339,518","13,339,518","13,276,147","13,276,147"
Public Service Commission,Refunds of Previous Years Revenue,(S),"126,349","126,349","52,825","52,825","19,834","19,834"
Public Service Commission,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),970,970,870,870,"1,532","1,532"
Public Service Human Resources Management Agency of Canada,Operating expenditures,55,0,0,,,,
Public Service Labour Relations Board,Program expenditures,105,"12,982,248","11,615,830","12,892,947","10,667,623","14,026,811","12,140,002"
Public Service Labour Relations Board,Contributions to employee benefit plans,(S),"1,251,477","1,251,477","1,221,089","1,221,089","1,306,699","1,306,699"
Public Service Labour Relations Board,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),64,0,64,64,,
Public Service Staffing Tribunal,Program expenditures,110,"5,155,926","4,326,654","5,043,039","4,192,116","5,438,979","4,387,381"
Public Service Staffing Tribunal,Contributions to employee benefit plans,(S),"558,097","558,097","554,721","554,721","548,695","548,695"
Public Works and Government Services,Operating expenditures,1,"2,550,598,117","2,221,945,661","2,506,884,908","2,292,411,148","2,266,031,098","2,175,092,763"
Public Works and Government Services,Capital expenditures,5,"426,938,557","357,265,517","689,430,094","688,531,837","509,318,814","489,566,916"
Public Works and Government Services,"Translation  Bureau Revolving Fund In accordance with section 29.1 of the Financial Administration Act, to increase from $10,000,000 to $20,000,000, effective April 1, 2011, the amount by which the aggregate of expenditures made for the purpose of the fund,  established by Vote 23d, Appropriation Act  No.4, 1994-95, may exceed the revenues",6,1,0,,,1,0
Public Works and Government Services,"Consulting and Audit Canada Revolving Fund In accordance with section 12 of the Revolving  Funds Act, R.S.C. 1985, c. R-8, to repeal section 5.4 of the said Act, as of March 31, 2012",7,1,0,1,0,1,0
Public Works and Government Services,Contributions,10,,,,,"5,210,000","5,053,348"
Public Works and Government Services,Collection Agency Fees under section 17.1 of the Financial Administration Act,(S),173,173,424,424,"1,170","1,170"
Public Works and Government Services,Consulting and Audit Canada Revolving Fund,(S),"20,908,455",0,"20,908,455","-1,592,517","2,913,824","2,913,824"
Public Works and Government Services,Contributions to employee benefit plans,(S),"112,740,824","112,740,824","115,283,089","115,283,089","115,151,728","115,151,728"
Public Works and Government Services,Defence Production Revolving Fund,(S),"100,000,000",0,"100,000,000",0,"100,000,000",0
Public Works and Government Services,Losses on Foreign Exchange,(S),"5,409","5,409",87,87,"29,229","29,229"
Public Works and Government Services,Minister's Salary and Motor Car Allowance ,(S),"77,330","77,330","77,638","77,638","77,536","77,536"
Public Works and Government Services,Optional Services Revolving Fund,(S),"38,729,648","-463,653","39,193,301","-1,707,617","40,900,918","2,015,634"
Public Works and Government Services,Payment in lieu of taxes to municipalities and other taxing authorities,(S),"1,084,147","1,084,147","-830,646","-830,646","158,371","158,371"
Public Works and Government Services,Real Property Disposition Revolving Fund,(S),"847,201","-4,997,609","-71,147","-6,525,999","464,448","-6,880,838"
Public Works and Government Services,Real Property Services Revolving Fund,(S),"303,728,527","-18,033,168","321,761,695","-6,694,130","190,033,203","6,092,305"
Public Works and Government Services,Refunds of Previous Years Revenue,(S),"2,078,495","2,078,495","45,789","45,789","649,557","649,557"
Public Works and Government Services,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"285,845","196,576","383,753","120,496","616,108","371,855"
Public Works and Government Services,Telecommunications and Informatics Common Services Revolving Fund,(S),"57,306,532","-5,800,432","63,106,964","1,089,755",0,0
Public Works and Government Services,Translation Bureau Revolving Fund,(S),"28,432,055","1,086,358","27,601,960","357,467","37,799,873","3,215,146"
Registry of the Competition Tribunal,Program expenditures,85,"2,016,289","1,231,564","2,030,607","1,393,219","2,387,460","1,459,253"
Registry of the Competition Tribunal,Contributions to employee benefit plans,(S),"136,255","136,255","132,701","132,701","129,443","129,443"
